CharacterUpdate,MonsterUpdate,PlayerUpdate,CombatEntityUpdate,MonsterStateMachineUpdate,MonsterStateMachineChangeSuccess,CharacterMoveUpdate,MapMoveEntity,MapUpdatePlayerAfterMove,MapGatherPlayers,MapGatherEntities,PathfinderCall,PathFoundDirect,PathFoundIndirect,PathNotFound[4:34:54 PM] Frame 0013.71 ,41021,41021,0,41021,0,0,0,0,0,0,0,0,0,0,0
[4:34:54 PM] Frame 0006.56 ,41021,41021,0,41021,0,0,0,0,0,0,0,0,0,0,0
[4:34:54 PM] Frame 0006.35 ,41021,41021,0,41021,0,0,0,0,0,0,0,0,0,0,0
[4:34:54 PM] Frame 0006.20 ,41021,41021,0,41021,0,0,0,0,0,0,0,0,0,0,0
[4:34:54 PM] Frame 0006.62 ,41021,41021,0,41021,0,0,0,0,0,0,0,0,0,0,0
[4:34:54 PM] Frame 0006.24 ,41021,41021,0,41021,0,0,0,0,0,0,0,0,0,0,0
[4:34:54 PM] Frame 0006.48 ,41021,41021,0,41021,0,0,0,0,0,0,0,0,0,0,0
[4:34:54 PM] Frame 0006.57 ,41021,41021,0,41021,0,0,0,0,0,0,0,0,0,0,0
[4:34:54 PM] Frame 0006.21 ,41021,41021,0,41021,0,0,0,0,0,0,0,0,0,0,0
[4:34:54 PM] Frame 0006.67 ,41021,41021,0,41021,0,0,0,0,0,0,0,0,0,0,0
[4:34:54 PM] Frame 0006.26 ,41021,41021,0,41021,0,0,0,0,0,0,0,0,0,0,0
[4:34:54 PM] Frame 0007.05 ,41021,41021,0,41021,0,0,0,0,0,0,0,0,0,0,0
[4:34:54 PM] Frame 0007.35 ,41021,41021,0,41021,0,0,0,0,0,0,0,0,0,0,0
[4:34:54 PM] Frame 0006.36 ,41021,41021,0,41021,0,0,0,0,0,0,0,0,0,0,0
[4:34:54 PM] Frame 0006.77 ,41021,41021,0,41021,0,0,0,0,0,0,0,0,0,0,0
[4:34:55 PM] Frame 0006.96 ,41021,41021,0,41021,0,0,0,0,0,0,0,0,0,0,0
[4:34:55 PM] Frame 0006.62 ,41021,41021,0,41021,0,0,0,0,0,0,0,0,0,0,0
[4:34:55 PM] Frame 0006.69 ,41021,41021,0,41021,0,0,0,0,0,0,0,0,0,0,0
[4:34:55 PM] Frame 0006.41 ,41021,41021,0,41021,0,0,0,0,0,0,0,0,0,0,0
[4:34:55 PM] Frame 0006.49 ,41021,41021,0,41021,0,0,0,0,0,0,0,0,0,0,0
[4:34:55 PM] Frame 0006.44 ,41021,41021,0,41021,0,0,0,0,0,0,0,0,0,0,0
[4:34:55 PM] Frame 0006.24 ,41021,41021,0,41021,0,0,0,0,0,0,0,0,0,0,0
[4:34:55 PM] Frame 0006.57 ,41021,41021,0,41021,0,0,0,0,0,0,0,0,0,0,0
[4:34:55 PM] Frame 0006.43 ,41021,41021,0,41021,0,0,0,0,0,0,0,0,0,0,0
[4:34:55 PM] Frame 0006.73 ,41021,41021,0,41021,0,0,0,0,0,0,0,0,0,0,0
[4:34:55 PM] Frame 0006.30 ,41021,41021,0,41021,0,0,0,0,0,0,0,0,0,0,0
[4:34:55 PM] Frame 0006.57 ,41021,41021,0,41021,0,0,0,0,0,0,0,0,0,0,0
[4:34:55 PM] Frame 0006.55 ,41021,41021,0,41021,0,0,0,0,0,0,0,0,0,0,0
[4:34:55 PM] Frame 0006.39 ,41021,41021,0,41021,0,0,0,0,0,0,0,0,0,0,0
[4:34:55 PM] Frame 0006.93 ,41021,41021,0,41021,0,0,0,0,0,0,0,0,0,0,0
[4:34:55 PM] Frame 0006.70 ,41021,41021,0,41021,0,0,0,0,0,0,0,0,0,0,0
[4:34:55 PM] Frame 0006.51 ,41021,41021,0,41021,0,0,0,0,0,0,0,0,0,0,0
[4:34:55 PM] Frame 0007.55 ,41021,41021,0,41021,0,0,0,0,0,0,0,0,0,0,0
[4:34:55 PM] Frame 0008.21 ,41021,41021,0,41021,0,0,0,0,0,0,0,0,0,0,0
[4:34:55 PM] Frame 0007.05 ,41021,41021,0,41021,0,0,0,0,0,0,0,0,0,0,0
[4:34:55 PM] Frame 0006.41 ,41021,41021,0,41021,0,0,0,0,0,0,0,0,0,0,0
[4:34:55 PM] Frame 0006.19 ,41021,41021,0,41021,0,0,0,0,0,0,0,0,0,0,0
[4:34:55 PM] Frame 0007.15 ,41021,41021,0,41021,0,0,0,0,0,0,0,0,0,0,0
[4:34:55 PM] Frame 0007.77 ,41021,41021,0,41021,0,0,0,0,0,0,0,0,0,0,0
[4:34:55 PM] Frame 0007.34 ,41021,41021,0,41021,0,0,0,0,0,0,0,0,0,0,0
[4:34:55 PM] Frame 0006.72 ,41021,41021,0,41021,0,0,0,0,0,0,0,0,0,0,0
